Ano,Municipio,Precip_Feb_mm
2006,Barão do Monte Alto,226.48
2006,Caparaó,112.93
2006,Divinésia,143.16
2006,Dores do Turvo,155.0
2006,Durandé,66.03
2006,Juiz de Fora,262.88
2006,Leopoldina,213.71
2006,Matipó,89.85
2006,Muriaé,182.45
2006,Orizânia,118.23
2006,Patrocínio do Muriaé,223.94
2006,Paula Cândido,117.72
2006,Pequeri,234.37
2006,Senador Firmino,124.33
2006,São João del Rei,237.88
2006,Ubá,170.34
2006,Viçosa,108.26
2007,Barão do Monte Alto,92.32
2007,Caparaó,163.61
2007,Divinésia,92.92
2007,Dores do Turvo,101.86
2007,Durandé,160.83
2007,Juiz de Fora,75.07
2007,Leopoldina,88.93
2007,Matipó,127.88
2007,Muriaé,106.19
2007,Orizânia,150.78
2007,Patrocínio do Muriaé,103.49
2007,Paula Cândido,94.89
2007,Pequeri,58.74
2007,Senador Firmino,95.9
2007,São João del Rei,101.35
2007,Ubá,98.98
2007,Viçosa,89.6
2008,Barão do Monte Alto,241.86
2008,Caparaó,198.69
2008,Divinésia,199.51
2008,Dores do Turvo,255.49
2008,Durandé,139.46
2008,Juiz de Fora,296.37
2008,Leopoldina,206.85
2008,Matipó,115.53
2008,Muriaé,224.39
2008,Orizânia,174.96
2008,Patrocínio do Muriaé,259.41
2008,Paula Cândido,150.4
2008,Pequeri,256.43
2008,Senador Firmino,178.13
2008,São João del Rei,247.55
2008,Ubá,242.94
2008,Viçosa,140.0
2009,Barão do Monte Alto,141.04
2009,Caparaó,216.82
2009,Divinésia,198.57
2009,Dores do Turvo,194.3
2009,Durandé,126.56
2009,Juiz de Fora,320.1
2009,Leopoldina,113.69
2009,Matipó,165.54
2009,Muriaé,139.97
2009,Orizânia,214.67
2009,Patrocínio do Muriaé,159.24
2009,Paula Cândido,196.28
2009,Pequeri,203.75
2009,Senador Firmino,193.48
2009,São João del Rei,234.35
2009,Ubá,183.49
2009,Viçosa,183.78
2010,Barão do Monte Alto,46.61
2010,Caparaó,87.99
2010,Divinésia,61.68
2010,Dores do Turvo,70.26
2010,Durandé,53.55
2010,Juiz de Fora,80.89
2010,Leopoldina,46.93
2010,Matipó,46.31
2010,Muriaé,65.44
